municipality,stratum,ind,hh
344,3000,6074,2515
345,3000,7504,3094
346,3000,3418,1546
347,2000,14818,6151
348,3000,3093,1300
349,4000,332,172
350,4000,1268,560
351,7000,4225,1873
352,8000,1649,750
353,8000,1376,570
354,6000,10667,4818
355,7000,2510,1139
356,8000,1706,783
357,7000,2485,1145
358,8000,1663,741
359,8000,1944,895
360,7000,2693,1227
361,7000,2593,1144
362,8000,1691,797
363,8000,1481,686
364,8000,1740,826
365,8000,1666,745
366,8000,1388,604
367,7000,4503,1909
368,8000,1510,691
369,8000,1139,515
370,8000,1088,487
371,8000,1343,637
372,6000,17806,7952
373,6000,18745,8355
374,8000,1682,787
375,8000,488,255
376,8000,991,464
377,8000,215,119
378,8000,1758,767
379,7000,4610,2012
380,5000,2000,844
381,7000,4436,2033
382,5000,99067,42700
383,7000,2315,997
384,20000,1376,653
385,19000,2231,972
386,20000,1343,570
387,20000,1564,689
388,20000,581,281
389,19000,3477,1486
390,18000,10750,4118
391,20000,1642,670
392,20000,1238,572
393,19000,2427,1046
394,19000,2599,1076
395,19000,4663,1909
396,19000,3635,1472
397,20000,842,364
398,20000,1791,806
399,20000,361,178
400,20000,762,339
401,20000,1213,532
402,20000,604,280
403,20000,271,163
404,20000,834,407
405,20000,1955,854
406,20000,760,339
407,20000,758,365
408,20000,1297,543
409,20000,981,525
410,20000,604,312
411,20000,1739,789
412,19000,2299,1109
413,20000,1281,559
414,20000,554,265
415,19000,2745,1189
416,20000,1932,883
417,20000,790,368
418,19000,5262,2129
419,20000,1566,728
420,20000,500,240
421,19000,5186,2108
422,19000,4204,1821
423,20000,1679,769
424,18000,12137,4696
425,18000,12356,4936
426,19000,4636,2006
427,19000,3830,1677
428,19000,4895,1969
429,20000,1498,703
430,18000,16095,6313
431,20000,464,247
432,19000,3732,1559
433,20000,1482,669
434,20000,1156,492
435,19000,4987,2064
436,20000,1381,569
437,20000,784,401
438,19000,3507,1421
439,19000,4436,1860
440,20000,1774,764
441,19000,5527,2197
442,19000,3850,1697
443,20000,948,478
444,19000,6248,2394
445,17000,61117,23848
446,19000,3954,1668
447,20000,914,417
448,18000,12094,4976
449,20000,1575,694
450,19000,2522,1111
451,20000,1402,622
452,19000,3178,1332
453,19000,3231,1321
454,20000,978,460
455,20000,1287,589
456,20000,991,498
457,20000,675,377
458,19000,2752,1319
459,20000,716,348
460,20000,1434,645
461,20000,1283,547
462,19000,5826,2433
463,20000,1282,524
464,20000,722,334
465,19000,2151,868
466,20000,1041,450
467,19000,6464,2556
468,20000,1373,571
469,20000,563,255
470,20000,1127,562
471,19000,6610,2630
472,19000,3032,1261
473,19000,2849,1139
474,19000,2104,1007
475,20000,625,305
476,20000,1881,841
477,18000,10823,4261
478,19000,2584,1014
479,19000,2768,1279
480,19000,2948,1215
481,20000,679,303
482,19000,3034,1333
483,24000,1715,842
484,24000,943,451
485,22000,10920,4526
486,24000,721,345
487,24000,301,167
488,24000,1142,531
489,24000,622,310
490,23000,8066,3318
491,24000,979,420
492,24000,893,417
493,23000,4764,2007
494,23000,2047,897
495,23000,4497,1922
496,21000,55144,21145
497,23000,2327,979
498,23000,6632,2717
499,23000,8871,3472
500,23000,6021,2468
501,24000,426,223
502,22000,15683,6622
503,22000,15188,6089
504,23000,3780,1671
505,23000,2372,1090
506,23000,2587,1079
507,24000,1101,527
508,24000,1324,676
509,23000,4077,1895
510,23000,4961,2101
511,23000,4593,2014
512,24000,1400,625
513,23000,6570,2662
